JC Name,Postcode,Building Name,Building Number/Floor,Address 1,Address 2,Town/City,County,District
Bolton Great Moor Street Jobcentre,BL3 6DT,,,Great Moor Street,,Bolton,Lancashire,Greater Manchester East and West
Dinnington Jobcentre,S25 2LZ,,,4 Church Lane,Dinnington,Sheffield,South Yorkshire,South Yorkshire
Coleford Jobcentre,GL16 8BQ,,,4 Mushet Walk,,Coleford,Gloucestershire,Gloucester & West of England
Thorne Jobcentre,DN8 5EQ,,,Orchard Street,Thorne,Doncaster,South Yorkshire,South Yorkshire
Alton Jobcentre,GU34 1LH,,,1-3 Butts Road,,Alton,Hampshire,Hampshire and Isle of Wight
Willenhall Jobcentre,WV13 1DH,,,Upper Lichfield Street,,Willenhall,West Midlands,Black Country
Woking Jobcentre,GU21 6JZ,,,15-29 Goldsworth Road,,Woking,Surrey,Surrey and Sussex
Arbroath Jobcentre,DD11 1PP,,,2 Chalmers Street,,Arbroath,Angus,North Scotland
Petersfield Jobcentre,GU32 3DP,,,14A Chapel Street,,Petersfield,Hampshire,Hampshire and Isle of Wight
Blandford Jobcentre,DT11 7UE,,,50 East Street,,Blandford,Dorset,Wessex
Cupar Jobcentre,KY15 4AN,,,7 Westport,,Cupar,Fife,East and South East of Scotland
Smethwick Jobcentre,B66 3AD,Trinity House,,High Street,,Smethwick,West Midlands,Black Country
Broad Street Jobcentre,B15 1AU,Centennial House,,100 Broad Street,,Birmingham,West Midlands,Birmingham and Solihull
Wombwell Jobcentre,S73 0JE,,,19 Kings Road,Wombwell,Barnsley,South Yorkshire,South Yorkshire
Seaham Jobcentre,SR7 7JE,Church View House,,St Johns Square,,Seaham,County Durham,"Durham, Tees Valley"
Bedworth Jobcentre,CV12 8NF,,,12 High Street,Bedworth,Bedworth,Warwickshire,Mercia
Dunoon Jobcentre,PA23 8BB,,,George Street,,Dunoon,Argyll,West Scotland
Cheltenham Jobcentre,GL50 4DJ,Haywood House,,7 North Street,,Cheltenham,Gloucestershire,Gloucester & West of England
Oban Jobcentre,PA34 4AF,Mathieson House,,1 Miller Road,,Oban,Argyll and Bute,West Scotland
Newton Aycliffe Jobcentre,DL5 4DH,Avenue House,,The Avenue,Greenwell Road,Newton Aycliffe,County Durham,"Durham, Tees Valley"
Chippenham Jobcentre,SN15 3LH,,,Cyppa Court,Avenue La Fleche,Chippenham,Wiltshire,Wessex
